[DeviceInfo-1] SerialNumber updated (direct match): 'LBNKIATNW235012345' → 'LBNKIASRC243920029'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/RRMPolicyRatio2-1] SNSSAINumberOfEntries updated (direct match): '1' → '0'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1] EventTrigger_CP updated (direct match): 'x' → '1'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1] EventReportListNumberOfEntries updated (direct match): '2' → '1'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1] MaxReportCells updated (direct match): '1' → '8'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/Event-1] Event_CP updated (direct match): '0' → '1'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/Event-1/A1EventInfo-1] Hysteresis updated (direct match): '0' → '3'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/Event-1/A1EventInfo-1] MeasTriggerThreshold updated (direct match): '110' → '71'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/Event-1/A1EventInfo-1] SpareParam1 updated (direct match): 'x' → '123'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/Event-1/A2EventInfo-1] Hysteresisn updated (direct match): '1' → '3'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/Event-1/A2EventInfo-1] MeasTriggerThreshold updated (direct match): '63' → '66'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/Event-1/A2EventInfo-1] SparaParam1 updated (direct match): 'x' → '123'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/Event-1/A3EventInfo-1] Hysteresis updated (direct match): '0' → '3'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/Event-1/A3EventInfo-1] SparePara1 updated (direct match): 'x' → '123'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/Event-1/A4EventInfo-1] SparePara1 updated (direct match): 'x' → '123'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/Event-1/A5EventInfo-1] Hysteresis updated (direct match): '0' → '3'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/Event-1/A5EventInfo-1] MeasTriggerThreshold updated (direct match): '80' → '60'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/Event-1/A5EventInfo-1] MeasTriggerThreshold1 updated (direct match): '60' → '56'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/Event-1/A6EventInfo-1] Hysteresis updated (direct match): '1' → '3'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/Event-1/A6EventInfo-1] SpareParam1 updated (direct match): 'x' → '123'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/EventreportQuantityCell-1] Rsrp updated (direct match): 'false' → 'true'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/EventreportQuantityCell-1] Sinr updated (direct match): 'false' → 'true'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/EventreportQuantityCell-1] SparePara1 updated (direct match): 'x' → '123'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/ReportQuantityRSIndexes-1] Rsrp updated (direct match): 'false' → 'true'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/ReportQuantityRSIndexes-1] Sinr updated (direct match): 'false' → 'true'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/ReportQuantityRSIndexes-1] SparePara1 updated (direct match): 'x' → '123'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/PeriodicalReport-1] PeriodicalReport_CP updated (direct match): 'x' → '1'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/PeriodicalReport-1/PeriodicalReportConfig-1] MaxReportCells updated (direct match): '1' → '8'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/PeriodicalReport-1/PeriodicalReportConfig-1] ReportAmount updated (direct match): 'R1' → 'R4'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/PeriodicalReport-1/PeriodicalReportConfig-1/PeriodreportQuantityCell-1] Rsrp updated (direct match): 'false' → 'true'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/PeriodicalReport-1/PeriodicalReportConfig-1/ReportQuantityRSIndPeriodic-1] Rsrp updated (direct match): 'false' → 'true'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportConfigInterRAT-1/EventTriggerConfigInterRAT-1/EventIRAT-1] EventIRAT_CP updated (direct match): 'x' → '1'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportConfigInterRAT-1/EventTriggerConfigInterRAT-1/EventIRAT-1/B1EventInfo-1] Hysteresis updated (direct match): '1' → '30'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportConfigInterRAT-1/EventTriggerConfigInterRAT-1/EventIRAT-1/B1EventInfo-1] MeasTriggerEutraThreshold updated (direct match): '60' → '3'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportConfigInterRAT-1/EventTriggerConfigInterRAT-1/EventIRAT-1/B1EventInfo-1] TimeToTrigger updated (direct match): 'MS320' → 'MS40'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportConfigInterRAT-1/EventTriggerConfigInterRAT-1/EventIRAT-1/B2EventInfo-1] MeasTriggerEutraThreshold updated (direct match): '0' → '3'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/SiConfig-1] SparePara1 updated (direct match): 'x' → '123'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/Sib2ConfigInfo-1] SIB2Enabled updated (direct match): 'false' → 'true'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/Sib2ConfigInfo-1/CellReselectionServingFreqInfo-1] CellReselectionSubPriority updated (direct match): 'odot6' → 'odot8'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/Sib2ConfigInfo-1/CellReselectionServingFreqInfo-1] SNonIntraSearchP updated (direct match): '3' → '5'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/Sib2ConfigInfo-1/CellReselectionServingFreqInfo-1] SNonIntraSearchQ updated (direct match): '9' → '3'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/Sib2ConfigInfo-1/CellReselectionServingFreqInfo-1] ThreshServingLowP updated (direct match): '3' → '4'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/Sib2ConfigInfo-1/IntraFreqCellReselectionInfo-1] DeriveSsbIdxFromCell updated (direct match): 'false' → 'true'
