Comparison Summary
Metric,Value
Total in Base Version,307
Total in Update Version,268
New Objects,60
Deprecated Objects,99

New Objects
Key,Class,DistName
FaultMgmt-1/SupportedAlarm-12,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-12
FaultMgmt-1/SupportedAlarm-13,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-13
FaultMgmt-1/SupportedAlarm-14,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-14
FaultMgmt-1/SupportedAlarm-15,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-15
FaultMgmt-1/SupportedAlarm-16,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-16
FaultMgmt-1/SupportedAlarm-17,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-17
FaultMgmt-1/SupportedAlarm-18,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-18
FaultMgmt-1/SupportedAlarm-19,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-19
FaultMgmt-1/SupportedAlarm-20,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-20
FaultMgmt-1/SupportedAlarm-21,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-21
